t_value,A_init,ratiocellfinal
1,0,0.373047
1,2,0.768555
1,4,0.739258
1,6,0.746094
1,8,0.716797
1,10,0.765625
1,12,0.716797
1,14,0.736328
1,16,0.736328
1,18,0.743164
1,20,0.755859
1,22,0.705078
1,24,0.738281
1,26,0.751953
1,28,0.717773
1,30,0.738281
1,32,0.726562
1,34,0.717773
1,36,0.727539
1,38,0.727539
1,40,0.755859
1,42,0.724609
1,44,0.733398
1,46,0.737305
1,48,0.738281
1,50,0.723633
56,0,0.444336
56,2,0.235352
56,4,0.59668
56,6,0.639648
56,8,0.666992
56,10,0.701172
56,12,0.585938
56,14,0.643555
56,16,0.661133
56,18,0.358398
56,20,0.515625
56,22,0.606445
56,24,0.500977
56,26,0.18457
56,28,0.666016
56,30,0.260742
56,32,0.666016
56,34,0.595703
56,36,0.170898
56,38,0.144531
56,40,0.757812
56,42,0.426758
56,44,0.466797
56,46,0.15332
56,48,0.185547
56,50,0.148438
111,0,0.517578
111,2,0.501953
111,4,0.787109
111,6,0.532227
111,8,0.647461
111,10,0.735352
111,12,0.642578
111,14,0.291016
111,16,0.582031
111,18,0.414062
111,20,0.631836
111,22,0.582031
111,24,0.206055
111,26,0.695312
111,28,0.257812
111,30,0.256836
111,32,0.466797
111,34,0.305664
111,36,0.803711
111,38,0.169922
111,40,0.34082
111,42,0.226562
111,44,0.255859
111,46,0.847656
111,48,0.31543
111,50,0.15332
166,0,0.463867
166,2,0.839844
166,4,0.15625
166,6,0.213867
166,8,0.303711
166,10,0.0869141
166,12,0.342773
166,14,0.714844
166,16,0.833984
166,18,0.850586
166,20,0.216797
166,22,0.239258
166,24,0.761719
166,26,0.712891
166,28,0.132812
166,30,0.182617
166,32,0.136719
166,34,0.142578
166,36,0.5625
166,38,0.34375
166,40,0.304688
166,42,0.708984
166,44,0.844727
166,46,0.28125
166,48,0.65332
166,50,0.648438
221,0,0.427734
221,2,0.805664
221,4,0.206055
221,6,0.649414
221,8,0.785156
221,10,0.208984
221,12,0.727539
221,14,0.291016
221,16,0.701172
221,18,0.787109
221,20,0.291016
221,22,0.746094
221,24,0.785156
221,26,0.265625
221,28,0.667969
221,30,0.214844
221,32,0.732422
221,34,0.105469
221,36,0.338867
221,38,0.665039
221,40,0.744141
221,42,0.108398
221,44,0.828125
221,46,0.366211
221,48,0.22168
221,50,0.316406
276,0,0.448242
276,2,0.594727
276,4,0.611328
276,6,0.146484
276,8,0.563477
276,10,0.198242
276,12,0.574219
276,14,0.173828
276,16,0.750977
276,18,0.174805
276,20,0.212891
276,22,0.611328
276,24,0.72168
276,26,0.669922
276,28,0.663086
276,30,0.305664
276,32,0.675781
276,34,0.201172
276,36,0.59668
276,38,0.777344
276,40,0.499023
276,42,0.229492
276,44,0.271484
276,46,0.732422
276,48,0.220703
276,50,0.239258
331,0,0.464844
331,2,0.241211
331,4,0.652344
331,6,0.183594
331,8,0.294922
331,10,0.536133
331,12,0.733398
331,14,0.129883
331,16,0.662109
331,18,0.199219
331,20,0.209961
331,22,0.636719
331,24,0.773438
331,26,0.245117
331,28,0.422852
331,30,0.608398
331,32,0.213867
331,34,0.789062
331,36,0.663086
331,38,0.326172
331,40,0.134766
331,42,0.239258
331,44,0.333008
331,46,0.262695
331,48,0.171875
331,50,0.543945
386,0,0.449219
386,2,0.374023
386,4,0.640625
386,6,0.296875
386,8,0.277344
386,10,0.804688
386,12,0.205078
386,14,0.828125
386,16,0.367188
386,18,0.373047
386,20,0.611328
386,22,0.543945
386,24,0.302734
386,26,0.229492
386,28,0.146484
386,30,0.775391
386,32,0.143555
386,34,0.72168
386,36,0.78125
386,38,0.298828
386,40,0.274414
386,42,0.757812
386,44,0.267578
386,46,0.538086
386,48,0.09375
386,50,0.34668
441,0,0.450195
441,2,0.146484
441,4,0.806641
441,6,0.318359
441,8,0.830078
441,10,0.4375
441,12,0.197266
441,14,0.249023
441,16,0.230469
441,18,0.762695
441,20,0.15625
441,22,0.426758
441,24,0.819336
441,26,0.827148
441,28,0.665039
441,30,0.696289
441,32,0.682617
441,34,0.666992
441,36,0.176758
441,38,0.271484
441,40,0.290039
441,42,0.702148
441,44,0.154297
441,46,0.21582
441,48,0.65625
441,50,0.474609
496,0,0.455078
496,2,0.720703
496,4,0.294922
496,6,0.300781
496,8,0.677734
496,10,0.273438
496,12,0.511719
496,14,0.3125
496,16,0.789062
496,18,0.265625
496,20,0.496094
496,22,0.701172
496,24,0.624023
496,26,0.65625
496,28,0.293945
496,30,0.689453
496,32,0.452148
496,34,0.59082
496,36,0.12793
496,38,0.365234
496,40,0.124023
496,42,0.804688
496,44,0.69043
496,46,0.664062
496,48,0.53418
496,50,0.805664
551,0,0.470703
551,2,0.235352
551,4,0.264648
551,6,0.327148
551,8,0.719727
551,10,0.0839844
551,12,0.762695
551,14,0.514648
551,16,0.654297
551,18,0.525391
551,20,0.375
551,22,0.523438
551,24,0.139648
551,26,0.255859
551,28,0.615234
551,30,0.145508
551,32,0.613281
551,34,0.206055
551,36,0.737305
551,38,0.849609
551,40,0.639648
551,42,0.532227
551,44,0.151367
551,46,0.339844
551,48,0.666016
551,50,0.676758
606,0,0.453125
606,2,0.698242
606,4,0.795898
606,6,0.771484
606,8,0.633789
606,10,0.738281
606,12,0.333008
606,14,0.241211
606,16,0.75
606,18,0.632812
606,20,0.797852
606,22,0.850586
606,24,0.225586
606,26,0.365234
606,28,0.0859375
606,30,0.714844
606,32,0.15625
606,34,0.724609
606,36,0.732422
606,38,0.135742
606,40,0.301758
606,42,0.164062
606,44,0.75293
606,46,0.745117
606,48,0.786133
606,50,0.664062
661,0,0.576172
661,2,0.713867
661,4,0.719727
661,6,0.601562
661,8,0.841797
661,10,0.694336
661,12,0.44043
661,14,0.668945
661,16,0.80957
661,18,0.326172
661,20,0.351562
661,22,0.169922
661,24,0.279297
661,26,0.257812
661,28,0.65625
661,30,0.25
661,32,0.243164
661,34,0.743164
661,36,0.197266
661,38,0.264648
661,40,0.356445
661,42,0.700195
661,44,0.69043
661,46,0.704102
661,48,0.716797
661,50,0.150391
716,0,0.539062
716,2,0.695312
716,4,0.774414
716,6,0.291016
716,8,0.768555
716,10,0.485352
716,12,0.688477
716,14,0.138672
716,16,0.722656
716,18,0.169922
716,20,0.207031
716,22,0.708008
716,24,0.651367
716,26,0.166992
716,28,0.125
716,30,0.231445
716,32,0.707031
716,34,0.681641
716,36,0.732422
716,38,0.210938
716,40,0.313477
716,42,0.290039
716,44,0.226562
716,46,0.123047
716,48,0.77832
716,50,0.716797
771,0,0.421875
771,2,0.688477
771,4,0.789062
771,6,0.591797
771,8,0.484375
771,10,0.72168
771,12,0.776367
771,14,0.162109
771,16,0.265625
771,18,0.183594
771,20,0.230469
771,22,0.665039
771,24,0.668945
771,26,0.71582
771,28,0.785156
771,30,0.250977
771,32,0.202148
771,34,0.201172
771,36,0.398438
771,38,0.121094
771,40,0.799805
771,42,0.272461
771,44,0.296875
771,46,0.610352
771,48,0.701172
771,50,0.313477
826,0,0.448242
826,2,0.21582
826,4,0.736328
826,6,0.737305
826,8,0.716797
826,10,0.875
826,12,0.694336
826,14,0.564453
826,16,0.314453
826,18,0.703125
826,20,0.740234
826,22,0.103516
826,24,0.199219
826,26,0.597656
826,28,0.226562
826,30,0.661133
826,32,0.140625
826,34,0.765625
826,36,0.69043
826,38,0.147461
826,40,0.75293
826,42,0.75
826,44,0.766602
826,46,0.775391
826,48,0.620117
826,50,0.253906
881,0,0.561523
881,2,0.255859
881,4,0.549805
881,6,0.740234
881,8,0.181641
881,10,0.706055
881,12,0.188477
881,14,0.298828
881,16,0.610352
881,18,0.708984
881,20,0.65625
881,22,0.325195
881,24,0.734375
881,26,0.738281
881,28,0.699219
881,30,0.862305
881,32,0.817383
881,34,0.326172
